top - 12:19:14 up 8 days, 49 min,  1 user,  load average: 2.24, 2.37, 2.59
Tasks: 508 total,   1 running, 505 sleeping,   0 stopped,   2 zombie
%Cpu(s): 22.6 us, 12.8 sy,  0.0 ni, 58.5 id,  5.5 wa,  0.0 hi,  0.6 si,  0.0 st
MiB Mem :  15889.4 total,    190.1 free,  13454.5 used,   2244.8 buff/cache
MiB Swap:   2048.0 total,      0.0 free,   2048.0 used.    835.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 247667 root      20   0 1172920 310804  19076 S  15.0   1.9 269:24.29 kube-ap+
 911683 mohit.k+  20   0   33.5g 559444 316092 S  15.0   3.4  89:32.97 chrome
 912532 mohit.k+  20   0 1131.0g 548968  88884 S  12.5   3.4  45:29.54 chrome
1532228 mohit.k+  20   0   20652   4532   3456 R  12.5   0.0   0:00.14 top
 247620 root      20   0   10.1g  59724   6400 S   7.5   0.4  71:08.45 etcd
    983 root      20   0  111884   7340   4264 S   5.0   0.0   0:12.92 sssd_be
    994 root      20   0 7844424 298432      0 S   5.0   1.8 160:59.48 java
    995 root      20   0 7626496  21588      0 S   5.0   0.1 155:38.49 java
   8448 mohit.k+  20   0 3806764 238520  33348 S   5.0   1.5  41:35.81 firefox
 246096 root      20   0 3215016  72688   9452 S   5.0   0.4 338:36.31 kubelet
 247598 root      20   0  821636  69308  12712 S   5.0   0.4  65:05.50 kube-co+
 911728 mohit.k+  20   0   33.1g 235064 116676 S   5.0   1.4  82:26.08 chrome
 911765 mohit.k+  20   0 1129.9g 108544  48608 S   5.0   0.7  20:02.66 chrome
    259 root      19  -1  165416  11212  10012 S   2.5   0.1   0:56.88 systemd+
    895 avahi     20   0   20760   2996    668 S   2.5   0.0  11:06.03 avahi-d+
   1124 root      20   0   62336   2308   1664 S   2.5   0.0   0:05.02 sssd_nss
   8623 mohit.k+  20   0 2541188  41764  10272 S   2.5   0.3  12:51.55 Isolate+
   8851 mohit.k+  20   0 2570076  67388  17404 S   2.5   0.4  11:29.50 Isolate+
   8877 mohit.k+  20   0 2478952  28648   8972 S   2.5   0.2   0:49.57 Isolate+
 911731 mohit.k+  20   0   32.4g  68920  28320 S   2.5   0.4  38:31.67 chrome
